Regnskap for familien Rosendals for de 3 første måneder
Dato;Type;Beløp;Beskrivelse;Periode;Mottaker
29.03.2023;mat;854;kiwi;;
28.03.2023;mat;1044;kiwi;;
26.03.2023;mat;350;japoniis shusi;;Irene
25.03.2023;mat;1206;oda;;
22.03.2023;mat;367;rema1000;;
20.03.2023;strøm;3613;fjordkraft;februar;
18.03.2023;mat;888;meny;;
15.03.2023;mat;1103;oda;;
10.03.2023;klær;587;Cubus;;Anja
04.03.2023;mat;350;japoniis shusi;;Irene
06.03.2023;mat;1587;kiwi;;
01.03.2023;mat;825;rema1000;;
28.02.2023;mat;1360;kiwi;;
25.02.2023;mat;1269;kiwi;;
22.02.2023;mat;1890;oda;;
20.02.2023;strøm;5285;fjordkraft;januar;
15.02.2023;mat;1527;kiwi;;
08.02.2023;mat;1874;;;
01.02.2023;mat;1366;oda;;
28.01.2023;mat;841;meny;;
26.01.2023;mat;;oda;;
22.01.2023;mat;771;kiwi;;
20.01.2023;strøm;7622;fjordkraft;desember;
18.01.2023;mat;1255;oda;;
15.01.2023;klær;562;Follestad;;Oskar
13.01.2023;mat;1140;kiwi;;
10.01.2023;mat;634;meny;;
08.01.2023;mat;1587;meny;;
04.01.2023;mat;1966;oda;;
04.01.2023;mat;350;japoniis shusi;;Irene
