Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;1;7;100,0;1;1;0;0;100,00;3;4;0;0;4;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;3;2;100,0;1;1;0;0;100,00;2;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;4;8;100,0;1;1;0;0;100,00;3;5;0;1;4;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;Totalt i retning RETN. VEST;9;100,0;1;1;0;0;100,00;5;4;0;0;4;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;Totalt i retning V/INFORAMA;9;100,0;1;1;0;0;100,00;4;5;0;1;4;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T00:00+01:00;2024-01-17T01:00+01:00;2024-01-17;00:00;01:00;Totalt;18;100,0;1;1;0;0;100,00;9;9;0;1;8;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;1;3;100,0;1;1;0;0;100,00;1;2;0;0;2;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;3;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;4;4;100,0;1;1;0;0;100,00;3;1;0;0;1;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;Totalt i retning RETN. VEST;3;100,0;1;1;0;0;100,00;1;2;0;0;2;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;Totalt i retning V/INFORAMA;5;100,0;1;1;0;0;100,00;4;1;0;0;1;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T01:00+01:00;2024-01-17T02:00+01:00;2024-01-17;01:00;02:00;Totalt;8;100,0;1;1;0;0;100,00;5;3;0;0;3;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;1;1;100,0;1;1;0;0;100,00;0;1;0;0;0;1;1;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;2;2;100,0;1;1;0;0;100,00;2;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;3;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;4;8;100,0;1;1;0;0;100,00;7;1;1;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;Totalt i retning RETN. VEST;1;100,0;1;1;0;0;100,00;0;1;0;0;0;1;1;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;Totalt i retning V/INFORAMA;10;100,0;1;1;0;0;100,00;9;1;1;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T02:00+01:00;2024-01-17T03:00+01:00;2024-01-17;02:00;03:00;Totalt;11;100,0;1;1;0;0;100,00;9;2;1;0;0;1;1;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;1;3;100,0;1;1;0;0;100,00;3;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;3;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;4;3;100,0;1;1;0;0;100,00;2;1;1;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;Totalt i retning RETN. VEST;3;100,0;1;1;0;0;100,00;3;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;Totalt i retning V/INFORAMA;4;100,0;1;1;0;0;100,00;3;1;1;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T03:00+01:00;2024-01-17T04:00+01:00;2024-01-17;03:00;04:00;Totalt;7;100,0;1;1;0;0;100,00;6;1;1;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T04:00+01:00;2024-01-17T05:00+01:00;2024-01-17;04:00;05:00;1;4;100,0;1;1;0;0;100,00;2;2;1;1;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T04:00+01:00;2024-01-17T05:00+01:00;2024-01-17;04:00;05:00;2;1;100,0;1;1;0;0;100,00;1;0;0;0;0;0;0;0
11693V443793;BARUM SANDVIKVEIEN;FV1424 S1D1 m127;2024-01-17T04:00+01:00;2024-01-17T05:00+01:00;2024-01-17;04:00;05:00;3;0;100,0;1;1;0;0;100,00;0;0;0;0;0;0;0;0
