"04495: Tid brukt til ulike medier en gjennomsnittsdag (minutter), etter medietype, statistikkvariabel og år"

"medietype";"Minutter brukt til ulike medier en gjennomsnittsdag 2010";"Minutter brukt til ulike medier en gjennomsnittsdag 2011";"Minutter brukt til ulike medier en gjennomsnittsdag 2012";"Minutter brukt til ulike medier en gjennomsnittsdag 2013";"Minutter brukt til ulike medier en gjennomsnittsdag 2014";"Minutter brukt til ulike medier en gjennomsnittsdag 2015";"Minutter brukt til ulike medier en gjennomsnittsdag 2016";"Minutter brukt til ulike medier en gjennomsnittsdag 2017";"Minutter brukt til ulike medier en gjennomsnittsdag 2018";"Minutter brukt til ulike medier en gjennomsnittsdag 2019"
"Papiravis";23;24;21;21;19;16;14;11;11;9
"Fjernsyn";152;157;131;133;132;107;112;104;98;78
"Radio";81;86;88;90;100;83;78;78;68;65
"Hjemme-PC";76;79;85;111;110;..;..;..;..;..
"Videomedier";12;12;12;14;20;20;22;37;36;44
"Internett";85;86;94;112;120;127;140;158;167;178
"Digitale spill";.;.;.;.;.;.;25;24;28;29
"Lydmedier";41;35;36;37;36;34;39;48;47;50
"Ukeblad";3;4;3;3;3;2;2;1;2;1
"Bøker";14;17;17;17;15;16;16;15;14;13
"Tidsskrift";4;4;2;3;3;2;2;1;2;2
